YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_DEL15
2023,JUN,21,Wednesday,American Airlines,PHL,RDU,0
2023,MAR,30,Thursday,Southwest Airlines,ALB,MCO,0
2022,OCT,6,Thursday,Southwest Airlines,DEN,LAX,0
2022,DEC,24,Saturday,Frontier Airlines,MEM,DEN,1
2022,AUG,7,Sunday,Delta Air Lines,LGA,DFW,0
2023,APR,28,Friday,PSA Airlines,CLT,MKE,0
2023,JAN,1,Sunday,Southwest Airlines,DAL,LGA,0
2022,NOV,3,Thursday,PSA Airlines,CAE,CLT,0
2022,SEP,30,Friday,SkyWest Airlines,MCW,ORD,0
2023,JUL,16,Sunday,Republic Airline,BUF,DCA,1
2022,SEP,22,Thursday,American Airlines,DFW,PSP,1
2023,MAY,16,Tuesday,Southwest Airlines,SMF,ONT,0
2022,AUG,13,Saturday,SkyWest Airlines,MSO,SLC,1
2023,APR,25,Tuesday,Spirit Air Lines,ORD,LAS,0
2023,MAY,6,Saturday,Endeavor Air,JAX,JFK,0
2023,JUL,18,Tuesday,Delta Air Lines,ATL,MKE,1
2023,MAR,2,Thursday,SkyWest Airlines,XWA,MSP,0
2023,MAR,11,Saturday,Envoy Air,DCA,CHS,0
2023,AUG,22,Tuesday,American Airlines,CLT,PHX,0
2023,MAY,16,Tuesday,Southwest Airlines,LAS,ABQ,1
2023,JUL,27,Thursday,United Air Lines,EWR,TPA,1
2023,JAN,24,Tuesday,Delta Air Lines,DTW,ATL,0
2022,NOV,28,Monday,SkyWest Airlines,CLE,MSP,0
2023,AUG,11,Friday,American Airlines,CLT,MSP,0
2023,JUN,2,Friday,American Airlines,DFW,FLL,0
2023,JUN,25,Sunday,Spirit Air Lines,FLL,BWI,1
2023,JUL,14,Friday,Southwest Airlines,BWI,PVD,1
2023,FEB,15,Wednesday,Southwest Airlines,DEN,TPA,1
2023,APR,17,Monday,Delta Air Lines,MSP,DEN,0
2023,JUN,29,Thursday,Envoy Air,EYW,MIA,0
2022,SEP,29,Thursday,JetBlue Airways,JFK,PSE,0
2022,NOV,12,Saturday,Envoy Air,ORD,BWI,1
2023,MAR,8,Wednesday,American Airlines,PHX,SFO,0
2023,MAR,17,Friday,SkyWest Airlines,FOD,MCW,0
2023,JUN,9,Friday,Endeavor Air,RDU,BNA,0
2023,JUL,2,Sunday,JetBlue Airways,BDL,FLL,0
2023,JUN,21,Wednesday,United Air Lines,ORD,MCI,0
2022,SEP,11,Sunday,United Air Lines,ORD,SEA,0
2022,SEP,9,Friday,United Air Lines,MIA,ORD,0
2023,JAN,1,Sunday,Southwest Airlines,LAS,BNA,0
2023,JAN,25,Wednesday,SkyWest Airlines,PSC,SEA,0
2023,MAR,14,Tuesday,SkyWest Airlines,DTW,ESC,0
2023,AUG,22,Tuesday,Southwest Airlines,PHX,STL,0
2023,AUG,31,Thursday,United Air Lines,SAN,IAD,0
2022,SEP,27,Tuesday,Southwest Airlines,PHX,SJC,0
2022,AUG,9,Tuesday,SkyWest Airlines,SLC,HLN,0
2023,APR,8,Saturday,Delta Air Lines,DTW,SAT,0
2023,AUG,30,Wednesday,American Airlines,DFW,SMF,0
2022,NOV,13,Sunday,United Air Lines,DEN,MSP,0
2022,DEC,8,Thursday,Hawaiian Airlines,OGG,OAK,0
2023,JUL,30,Sunday,Spirit Air Lines,ORD,MCO,0
2022,OCT,18,Tuesday,SkyWest Airlines,MCW,ORD,0
2022,AUG,23,Tuesday,Republic Airline,ORD,TVC,1
2023,JUL,4,Tuesday,Alaska Airlines,ANC,BET,0
2022,AUG,21,Sunday,SkyWest Airlines,MSP,ABR,0
2022,DEC,3,Saturday,Southwest Airlines,LGB,OAK,0
2022,DEC,26,Monday,Southwest Airlines,MCO,PIT,1
2022,OCT,16,Sunday,Southwest Airlines,PHL,TPA,0
2023,APR,14,Friday,American Airlines,DFW,SAN,0
2023,MAR,30,Thursday,American Airlines,BNA,MIA,1
2022,SEP,11,Sunday,Allegiant Air,HOU,PVU,0
2023,JUN,9,Friday,American Airlines,CLT,MSY,0
2022,NOV,15,Tuesday,SkyWest Airlines,IAH,LIT,1
2023,JUL,19,Wednesday,Southwest Airlines,ONT,PHX,0
2023,APR,26,Wednesday,Southwest Airlines,AUS,HRL,1
2023,JUN,2,Friday,American Airlines,PHX,DEN,0
2023,APR,18,Tuesday,American Airlines,CLT,IAD,0
2022,OCT,10,Monday,Southwest Airlines,SAN,OAK,0
2023,JUN,24,Saturday,Southwest Airlines,SAT,PHX,0
2023,JUL,11,Tuesday,Southwest Airlines,BWI,GRR,0
2022,SEP,12,Monday,Southwest Airlines,SLC,PHX,0
2022,SEP,10,Saturday,American Airlines,RSW,DCA,0
2022,SEP,13,Tuesday,Southwest Airlines,TPA,MDW,0
2023,MAR,27,Monday,Southwest Airlines,DEN,DAL,1
2023,JUL,17,Monday,Southwest Airlines,GSP,ATL,1
2023,MAR,12,Sunday,Delta Air Lines,ROC,ATL,1
2023,APR,1,Saturday,United Air Lines,EWR,AUS,1
2023,AUG,26,Saturday,Southwest Airlines,LAS,STL,0
2022,AUG,21,Sunday,Endeavor Air,ATL,FAY,0
2023,AUG,18,Friday,Southwest Airlines,OMA,DEN,0
2023,APR,13,Thursday,Alaska Airlines,SAN,HNL,1
2023,JAN,5,Thursday,PSA Airlines,CLT,TYS,0
2023,JUN,29,Thursday,Southwest Airlines,BNA,MSP,0
2022,SEP,12,Monday,SkyWest Airlines,BIS,MSP,1
2023,JAN,20,Friday,Endeavor Air,IND,DTW,0
2022,SEP,21,Wednesday,Envoy Air,RDU,AUS,0
2023,JUN,27,Tuesday,Southwest Airlines,DAL,SAT,0
2023,AUG,19,Saturday,Republic Airline,JFK,PIT,0
2023,MAR,12,Sunday,Southwest Airlines,SAN,DEN,0
2022,AUG,22,Monday,PSA Airlines,CLT,TYS,0
2022,SEP,22,Thursday,American Airlines,STL,CLT,0
2022,OCT,3,Monday,Frontier Airlines,BDL,DEN,0
2023,FEB,22,Wednesday,American Airlines,PHX,FAT,1
2022,OCT,14,Friday,Endeavor Air,BHM,LGA,0
2023,APR,28,Friday,Republic Airline,BOS,HPN,0
2023,APR,3,Monday,Delta Air Lines,LAX,SAT,0
2023,AUG,19,Saturday,Delta Air Lines,MSP,BOI,0
2023,MAR,26,Sunday,Delta Air Lines,MEM,ATL,0
2023,MAR,21,Tuesday,Delta Air Lines,MCO,BOS,0
2022,AUG,20,Saturday,Southwest Airlines,DTW,PHX,0
2022,OCT,26,Wednesday,American Airlines,MKE,DFW,0
2023,JAN,21,Saturday,Southwest Airlines,DAL,ORD,0
2023,FEB,14,Tuesday,Hawaiian Airlines,HNL,ITO,0
2022,OCT,22,Saturday,American Airlines,PHL,SJU,0
2023,APR,9,Sunday,American Airlines,MSN,CLT,0
2023,MAR,14,Tuesday,Delta Air Lines,CHS,ATL,0
2023,FEB,23,Thursday,Envoy Air,ORD,BHM,0
2022,AUG,9,Tuesday,Southwest Airlines,MIA,BNA,0
2023,MAR,6,Monday,Frontier Airlines,BDL,SJU,0
2023,JUN,19,Monday,American Airlines,TPA,CLT,1
2023,JUL,30,Sunday,Spirit Air Lines,RSW,DTW,1
2022,AUG,8,Monday,Southwest Airlines,MCI,TPA,0
2023,MAY,5,Friday,Southwest Airlines,MCI,TPA,1
2023,MAY,31,Wednesday,SkyWest Airlines,BOI,SLC,0
2022,AUG,23,Tuesday,Southwest Airlines,SAN,SMF,1
2023,AUG,18,Friday,Delta Air Lines,IAD,ATL,0
2023,APR,7,Friday,PSA Airlines,PHL,BTV,0
2022,NOV,9,Wednesday,Southwest Airlines,MCO,PIT,0
2023,MAY,17,Wednesday,Delta Air Lines,ATL,ONT,1
2022,OCT,11,Tuesday,SkyWest Airlines,PHX,MRY,0
2023,JUL,23,Sunday,Southwest Airlines,SAN,SJC,0
2023,MAY,3,Wednesday,JetBlue Airways,TPA,LGA,0
2022,NOV,6,Sunday,JetBlue Airways,MCO,LGA,0
2023,APR,11,Tuesday,American Airlines,DEN,DFW,0
2022,AUG,11,Thursday,Endeavor Air,MLU,ATL,0
2023,AUG,11,Friday,Delta Air Lines,SAN,ATL,1
2022,OCT,10,Monday,SkyWest Airlines,SJC,SAN,0
2023,JUL,13,Thursday,SkyWest Airlines,PIA,ORD,0
2023,MAY,20,Saturday,Delta Air Lines,MSP,BOS,0
2022,DEC,9,Friday,Delta Air Lines,PHX,SLC,0
2022,AUG,7,Sunday,Endeavor Air,RDU,JFK,0
2023,MAY,17,Wednesday,Delta Air Lines,DTW,BUF,0
2023,AUG,7,Monday,Republic Airline,DCA,EWR,0
2023,APR,13,Thursday,Hawaiian Airlines,HNL,KOA,1
2023,MAR,18,Saturday,United Air Lines,DEN,ELP,0
2023,JUL,5,Wednesday,Southwest Airlines,STL,PIT,0
2022,SEP,11,Sunday,Alaska Airlines,SEA,STL,1
2023,JUL,13,Thursday,Southwest Airlines,DEN,LAS,1
2023,MAR,29,Wednesday,Southwest Airlines,BHM,HOU,0
2023,AUG,24,Thursday,American Airlines,DCA,TPA,0
2023,JAN,7,Saturday,SkyWest Airlines,SFO,SAN,1
2023,MAR,29,Wednesday,PSA Airlines,CHS,CLT,0
2023,MAY,8,Monday,Southwest Airlines,BWI,MDW,1
2023,FEB,20,Monday,American Airlines,DFW,CVG,0
2023,JUN,17,Saturday,Delta Air Lines,DTW,AUS,0
2023,MAR,23,Thursday,Southwest Airlines,BNA,ISP,0
2023,JUL,6,Thursday,Southwest Airlines,DEN,ONT,0
2023,JUL,27,Thursday,Hawaiian Airlines,HNL,OAK,0
2023,FEB,18,Saturday,SkyWest Airlines,ATL,FWA,0
2023,JAN,12,Thursday,Delta Air Lines,MSP,PDX,0
2023,MAR,30,Thursday,United Air Lines,EWR,MCO,1
2022,AUG,2,Tuesday,United Air Lines,IAD,EWR,0
2022,OCT,7,Friday,Spirit Air Lines,MCO,CLE,0
2023,MAR,12,Sunday,Southwest Airlines,PHX,DEN,1
2022,SEP,10,Saturday,SkyWest Airlines,LAX,SFO,0
2023,MAY,31,Wednesday,Delta Air Lines,MCI,ATL,0
2022,AUG,25,Thursday,Republic Airline,RDU,PHL,0
2022,AUG,8,Monday,American Airlines,ORD,DFW,0
2023,APR,28,Friday,American Airlines,DFW,MEM,1
2023,JAN,27,Friday,Delta Air Lines,SFO,DTW,0
2023,JUN,6,Tuesday,Delta Air Lines,CHA,ATL,0
2022,OCT,1,Saturday,American Airlines,JFK,PHX,0
2022,SEP,4,Sunday,United Air Lines,PDX,ORD,0
2022,OCT,9,Sunday,SkyWest Airlines,SLC,GTF,0
2023,APR,7,Friday,SkyWest Airlines,SEA,RDM,0
2023,APR,18,Tuesday,Delta Air Lines,DCA,ATL,0
2023,JUN,18,Sunday,United Air Lines,ORD,LAS,0
2023,JAN,9,Monday,Spirit Air Lines,TPA,IAH,0
2023,MAR,30,Thursday,Delta Air Lines,ROA,ATL,0
2022,AUG,7,Sunday,Delta Air Lines,MSP,BDL,0
2023,JUL,6,Thursday,Allegiant Air,MDT,PGD,1
2023,JUN,14,Wednesday,Southwest Airlines,BUR,SJC,0
2023,JUN,15,Thursday,Southwest Airlines,SAN,PHX,0
2023,FEB,14,Tuesday,Southwest Airlines,AUS,RDU,0
2022,AUG,26,Friday,SkyWest Airlines,DRO,DEN,0
2023,MAR,28,Tuesday,United Air Lines,ORD,DEN,0
2023,MAY,26,Friday,Republic Airline,JFK,BOS,0
2023,APR,4,Tuesday,American Airlines,PHX,RDU,1
2022,OCT,29,Saturday,Endeavor Air,LGA,MEM,0
2022,SEP,26,Monday,Envoy Air,XNA,DCA,1
2023,MAY,2,Tuesday,Southwest Airlines,LAX,DEN,0
2023,JUN,2,Friday,Spirit Air Lines,MCO,RDU,0
2023,APR,18,Tuesday,Southwest Airlines,SAT,MDW,1
2023,MAY,18,Thursday,SkyWest Airlines,SLC,BIL,0
2023,JUN,28,Wednesday,Delta Air Lines,DCA,ATL,1
2022,DEC,3,Saturday,SkyWest Airlines,MSP,BIS,0
2022,NOV,13,Sunday,JetBlue Airways,LGA,MCO,0
2023,MAR,9,Thursday,JetBlue Airways,DCA,BOS,0
2023,APR,5,Wednesday,SkyWest Airlines,SEA,GEG,0
2023,FEB,12,Sunday,American Airlines,BNA,LGA,0
2023,APR,20,Thursday,American Airlines,DFW,COS,0
2022,SEP,1,Thursday,United Air Lines,ORD,FAT,0
2023,APR,29,Saturday,Southwest Airlines,SRQ,CMH,1
2022,DEC,23,Friday,Southwest Airlines,STL,AUS,1
2022,NOV,19,Saturday,Delta Air Lines,ATL,BHM,0
2022,NOV,23,Wednesday,American Airlines,MCO,CLT,0
2022,AUG,2,Tuesday,Southwest Airlines,AMA,AUS,0
2022,OCT,17,Monday,Endeavor Air,RIC,LGA,1
2023,AUG,22,Tuesday,Delta Air Lines,PVD,ATL,0
2023,APR,19,Wednesday,American Airlines,LAS,MIA,0
2023,APR,29,Saturday,Delta Air Lines,ATL,FLL,0
2023,AUG,27,Sunday,American Airlines,CLT,JFK,0
2022,DEC,29,Thursday,United Air Lines,MIA,IAD,0
2023,MAR,27,Monday,United Air Lines,SEA,SFO,0
2023,MAR,23,Thursday,Envoy Air,TVC,ORD,0
2022,DEC,24,Saturday,Hawaiian Airlines,ONT,HNL,0
2023,JUN,22,Thursday,JetBlue Airways,SAV,BOS,1
2022,DEC,14,Wednesday,American Airlines,DFW,OMA,0
2023,JUL,5,Wednesday,American Airlines,PHL,BOS,0
2023,JAN,30,Monday,Republic Airline,LGA,BDL,0
2023,JUN,22,Thursday,United Air Lines,PHX,ORD,0
2023,JUL,17,Monday,Republic Airline,DCA,BOS,0
2022,NOV,28,Monday,Mesa Airlines,BNA,IAH,0
2022,DEC,1,Thursday,Delta Air Lines,DTW,ATL,0
2023,FEB,7,Tuesday,United Air Lines,MCO,EWR,0
2023,JUL,30,Sunday,American Airlines,CLT,CLE,0
2023,APR,9,Sunday,SkyWest Airlines,ORD,MKE,1
2022,AUG,27,Saturday,American Airlines,LGA,STL,0
2022,AUG,7,Sunday,SkyWest Airlines,TUL,DEN,0
2022,AUG,6,Saturday,Frontier Airlines,MCO,HOU,0
2023,MAY,24,Wednesday,Southwest Airlines,HOU,MCO,0
2022,NOV,1,Tuesday,PSA Airlines,DTW,PHL,1
2023,APR,23,Sunday,American Airlines,PHX,BOI,0
2022,AUG,18,Thursday,United Air Lines,SFO,JFK,0
2022,NOV,29,Tuesday,Southwest Airlines,DEN,ATL,0
2023,JAN,16,Monday,Alaska Airlines,ANC,SEA,0
2022,SEP,11,Sunday,Delta Air Lines,ATL,PNS,0
2023,JAN,17,Tuesday,Delta Air Lines,SRQ,ATL,0
2023,JUL,11,Tuesday,American Airlines,CLT,TUL,0
2023,FEB,9,Thursday,American Airlines,AUS,TPA,0
2023,AUG,5,Saturday,Southwest Airlines,MDW,GRR,0
2022,DEC,7,Wednesday,Southwest Airlines,BWI,BUF,0
2023,JUN,29,Thursday,Southwest Airlines,DAL,ATL,1
2022,OCT,27,Thursday,Southwest Airlines,MDW,CVG,1
2023,JUN,25,Sunday,Hawaiian Airlines,KOA,HNL,0
2022,DEC,6,Tuesday,United Air Lines,RDU,ORD,0
2023,FEB,23,Thursday,SkyWest Airlines,GSP,ORD,0
2022,AUG,15,Monday,Southwest Airlines,SEA,SMF,0
2022,SEP,11,Sunday,SkyWest Airlines,MSP,MOT,0
2023,MAY,10,Wednesday,SkyWest Airlines,BOI,SEA,0
2023,JAN,11,Wednesday,Delta Air Lines,LAX,ATL,1
2022,NOV,2,Wednesday,American Airlines,TPA,CLT,0
2022,OCT,16,Sunday,Envoy Air,JAN,DFW,0
2023,JAN,12,Thursday,Alaska Airlines,SNA,PDX,0
2023,MAY,4,Thursday,Southwest Airlines,KOA,HNL,0
2023,JUL,12,Wednesday,United Air Lines,HNL,LAX,0
2022,AUG,22,Monday,Delta Air Lines,ORD,DTW,0
2023,MAR,27,Monday,United Air Lines,DEN,LAS,0
2022,DEC,5,Monday,Southwest Airlines,CLT,BWI,0
2023,JAN,6,Friday,SkyWest Airlines,LAX,SFO,1
2023,JUL,31,Monday,Republic Airline,BOS,MKE,0
2023,MAY,8,Monday,American Airlines,MSY,PHX,1
2023,MAY,15,Monday,Delta Air Lines,MSP,LAX,0
2023,MAY,6,Saturday,Delta Air Lines,MSN,MSP,0
2022,NOV,16,Wednesday,SkyWest Airlines,DEN,BNA,0
2023,APR,13,Thursday,American Airlines,ONT,DFW,0
2023,MAY,27,Saturday,SkyWest Airlines,SBA,LAX,0
2022,OCT,24,Monday,SkyWest Airlines,PHX,YUM,1
2023,APR,29,Saturday,Alaska Airlines,PDX,KOA,0
2022,AUG,21,Sunday,Southwest Airlines,PIT,MCO,0
2023,FEB,22,Wednesday,SkyWest Airlines,SFO,RDM,0
2023,JAN,28,Saturday,United Air Lines,MCO,IAH,0
2023,JUN,7,Wednesday,Southwest Airlines,AUS,BWI,0
2023,MAR,26,Sunday,Spirit Air Lines,DTW,MYR,1
2022,SEP,17,Saturday,JetBlue Airways,MCO,SJU,0
2023,MAR,14,Tuesday,United Air Lines,MTJ,DEN,0
2023,MAY,29,Monday,Delta Air Lines,MSP,DEN,0
2023,FEB,7,Tuesday,Southwest Airlines,MCO,BDL,0
2023,JUN,18,Sunday,SkyWest Airlines,IDA,SLC,0
2023,JAN,21,Saturday,American Airlines,SAN,DFW,0
2022,OCT,23,Sunday,United Air Lines,EWR,SMF,0
2022,NOV,13,Sunday,Delta Air Lines,LAX,JFK,0
2022,AUG,17,Wednesday,SkyWest Airlines,SFO,SNA,1
2023,JUN,14,Wednesday,Southwest Airlines,MCO,BNA,1
2023,FEB,7,Tuesday,PSA Airlines,GSO,CLT,0
2023,MAY,6,Saturday,Alaska Airlines,PDX,PHX,0
2023,JUL,25,Tuesday,SkyWest Airlines,PDX,SMF,0
2022,NOV,2,Wednesday,Southwest Airlines,AUS,TPA,1
2023,APR,18,Tuesday,SkyWest Airlines,PHX,MRY,0
2022,OCT,24,Monday,Mesa Airlines,CLT,IAH,0
2023,JUL,16,Sunday,American Airlines,MIA,EWR,0
2022,NOV,7,Monday,Southwest Airlines,BOI,PHX,0
2022,DEC,14,Wednesday,American Airlines,MKE,CLT,0
2023,JUN,18,Sunday,PSA Airlines,CAK,CLT,0
2023,JUL,10,Monday,Republic Airline,LGA,DTW,0
2022,DEC,1,Thursday,Southwest Airlines,BNA,PIT,1
2022,DEC,19,Monday,American Airlines,LGA,ORD,1
2022,SEP,27,Tuesday,Envoy Air,GGG,DFW,0
2023,MAY,11,Thursday,Delta Air Lines,LAX,PDX,0
2023,JUN,13,Tuesday,SkyWest Airlines,MEI,IAH,0
2022,OCT,21,Friday,United Air Lines,DEN,CVG,0
2022,SEP,25,Sunday,United Air Lines,IAD,TPA,0
2023,JUN,19,Monday,United Air Lines,ORD,MSP,0
2022,OCT,30,Sunday,Southwest Airlines,LGB,LAS,0
2023,MAY,4,Thursday,Southwest Airlines,ONT,DEN,0
2022,NOV,29,Tuesday,Endeavor Air,LGA,BGR,0
2023,APR,2,Sunday,Delta Air Lines,MKE,ATL,1
2023,MAR,27,Monday,JetBlue Airways,BDL,RSW,0
2023,JAN,9,Monday,Southwest Airlines,PSP,PHX,0
2023,FEB,6,Monday,Frontier Airlines,CLE,MCO,0
2023,JUL,24,Monday,SkyWest Airlines,FAR,MSP,0
2022,SEP,27,Tuesday,American Airlines,STT,MIA,1
2022,SEP,4,Sunday,Horizon Air,SFO,GEG,0
2023,JAN,24,Tuesday,Republic Airline,LGA,MCI,0
2023,MAR,3,Friday,American Airlines,ORF,MIA,0
2023,MAY,8,Monday,Southwest Airlines,DCA,PVD,1
2023,JAN,2,Monday,American Airlines,DFW,RIC,1
2022,DEC,23,Friday,Delta Air Lines,LIT,ATL,0
2022,NOV,6,Sunday,Southwest Airlines,LAX,SMF,0
2022,OCT,13,Thursday,SkyWest Airlines,DEN,LIT,0
2023,JUN,12,Monday,Southwest Airlines,DAL,LAS,0
2023,AUG,19,Saturday,SkyWest Airlines,AUS,SJC,0
2022,DEC,29,Thursday,Southwest Airlines,LGA,BNA,1
2022,NOV,12,Saturday,American Airlines,DFW,LAX,0
2023,MAY,24,Wednesday,Endeavor Air,ALB,LGA,0
2023,APR,27,Thursday,Delta Air Lines,PHL,ATL,0
2022,OCT,24,Monday,SkyWest Airlines,PHX,FAT,0
2023,JUN,20,Tuesday,American Airlines,RDU,LGA,0
2023,MAR,28,Tuesday,Republic Airline,BOS,PHL,0
2022,NOV,20,Sunday,Delta Air Lines,LGA,ATL,1
2023,JUN,4,Sunday,Southwest Airlines,MDW,PHX,0
2022,DEC,30,Friday,Southwest Airlines,MDW,BNA,0
2023,MAY,17,Wednesday,SkyWest Airlines,DEN,VEL,0
2023,JUL,19,Wednesday,Delta Air Lines,SFO,DTW,0
2022,DEC,18,Sunday,PSA Airlines,CLT,HPN,0
2023,MAY,8,Monday,SkyWest Airlines,SLC,LGB,0
2022,SEP,9,Friday,JetBlue Airways,MIA,JFK,0
2022,NOV,11,Friday,Southwest Airlines,ATL,LGA,0
2023,APR,27,Thursday,American Airlines,ORD,DFW,1
2023,AUG,29,Tuesday,Southwest Airlines,SBA,SMF,0
2023,MAY,5,Friday,Republic Airline,ORF,LGA,0
2022,SEP,7,Wednesday,SkyWest Airlines,BOI,IAH,0
2023,JAN,20,Friday,Southwest Airlines,SJC,BUR,0
2023,MAY,26,Friday,United Air Lines,EWR,TPA,0
2022,NOV,14,Monday,United Air Lines,RSW,EWR,1
2022,DEC,22,Thursday,American Airlines,JFK,SFO,0
2022,DEC,17,Saturday,American Airlines,CLT,DFW,0
2022,AUG,12,Friday,Republic Airline,BOS,ORD,0
2023,JAN,2,Monday,Southwest Airlines,MKE,MCO,0
2023,AUG,27,Sunday,American Airlines,KOA,PHX,0
2022,OCT,23,Sunday,United Air Lines,CLE,DEN,0
2022,NOV,18,Friday,Alaska Airlines,AUS,SFO,1
2023,FEB,26,Sunday,Southwest Airlines,PHX,RNO,1
2023,APR,8,Saturday,SkyWest Airlines,GCC,DEN,0
2023,APR,20,Thursday,Alaska Airlines,JNU,SEA,0
2023,FEB,27,Monday,United Air Lines,SFO,DEN,0
2023,MAR,3,Friday,SkyWest Airlines,ESC,DTW,1
2022,DEC,7,Wednesday,Horizon Air,SEA,FCA,0
2022,SEP,19,Monday,Alaska Airlines,BOI,SAN,1
2023,JUN,16,Friday,United Air Lines,JAX,IAH,0
2022,AUG,17,Wednesday,Southwest Airlines,LAS,SJC,0
2023,JUL,29,Saturday,Delta Air Lines,LAX,PDX,0
2023,JUN,12,Monday,Republic Airline,PIT,BOS,0
2022,DEC,31,Saturday,SkyWest Airlines,SEA,OAK,0
2023,JAN,16,Monday,Republic Airline,EWR,MEM,0
2022,OCT,13,Thursday,American Airlines,PIT,ORD,0
2022,OCT,17,Monday,United Air Lines,IAD,IAH,0
2023,FEB,4,Saturday,PSA Airlines,BNA,RDU,0
2023,MAR,14,Tuesday,American Airlines,DFW,BOI,0
2023,JUN,6,Tuesday,JetBlue Airways,EWR,MCO,0
2022,OCT,28,Friday,Allegiant Air,BNA,PIT,0
2023,AUG,28,Monday,Southwest Airlines,DEN,SFO,1
2022,DEC,24,Saturday,Southwest Airlines,HOU,SMF,1
2023,MAR,6,Monday,American Airlines,OKC,CLT,0
2023,JAN,11,Wednesday,SkyWest Airlines,MSP,ATW,0
2022,DEC,4,Sunday,Alaska Airlines,ORD,SEA,1
2023,AUG,27,Sunday,United Air Lines,BOS,IAD,0
2023,APR,3,Monday,American Airlines,DFW,HDN,0
2022,AUG,30,Tuesday,Southwest Airlines,SAN,SJC,0
2022,AUG,24,Wednesday,Southwest Airlines,PDX,DEN,1
2023,MAR,18,Saturday,Delta Air Lines,IAH,LAX,0
2023,JUL,20,Thursday,Alaska Airlines,SAN,OGG,0
2022,NOV,22,Tuesday,JetBlue Airways,ATL,BOS,0
2022,AUG,23,Tuesday,Horizon Air,SEA,BIL,0
2023,MAY,15,Monday,Delta Air Lines,MCO,ATL,0
2023,AUG,11,Friday,Frontier Airlines,ATL,ONT,0
2022,SEP,24,Saturday,Delta Air Lines,SLC,LAX,0
2023,JUL,19,Wednesday,Southwest Airlines,SJC,LAX,0
2023,MAR,17,Friday,Envoy Air,BHM,CLT,0
2023,MAY,11,Thursday,SkyWest Airlines,LNK,ORD,0
2022,OCT,4,Tuesday,Southwest Airlines,LGB,OAK,0
2023,AUG,20,Sunday,Delta Air Lines,MSP,IAH,0
2022,DEC,19,Monday,SkyWest Airlines,LAX,TUL,0
2023,MAY,29,Monday,SkyWest Airlines,DEN,SUN,0
2023,AUG,8,Tuesday,Republic Airline,BOS,DCA,0
2022,SEP,16,Friday,American Airlines,DFW,PHL,0
2023,FEB,18,Saturday,SkyWest Airlines,DIK,DEN,0
2022,AUG,30,Tuesday,United Air Lines,DEN,MSN,0
2023,MAR,10,Friday,Allegiant Air,LAS,BLV,1
2022,NOV,25,Friday,United Air Lines,SEA,IAD,0
2023,APR,2,Sunday,American Airlines,CLT,BNA,0
2023,FEB,8,Wednesday,Southwest Airlines,DEN,PHX,0
2023,JUL,27,Thursday,American Airlines,SNA,DFW,0
2023,MAY,5,Friday,Southwest Airlines,MKE,MCO,0
2022,DEC,8,Thursday,Southwest Airlines,SRQ,BWI,0
2023,MAR,14,Tuesday,Southwest Airlines,PHX,LAS,0
2022,AUG,6,Saturday,Mesa Airlines,STL,DFW,0
2022,NOV,29,Tuesday,American Airlines,CLT,RDU,0
2023,APR,7,Friday,Southwest Airlines,SAN,DEN,0
2022,AUG,23,Tuesday,Southwest Airlines,MCO,PIT,0
2023,JUN,15,Thursday,Envoy Air,BMI,DFW,0
2022,SEP,21,Wednesday,Delta Air Lines,BNA,ATL,0
2023,JUL,20,Thursday,Delta Air Lines,PDX,SEA,0
2023,JAN,31,Tuesday,Frontier Airlines,CVG,MCO,1
2022,DEC,9,Friday,PSA Airlines,DCA,PVD,0
2022,NOV,22,Tuesday,Southwest Airlines,BNA,PHX,0
2023,JUN,2,Friday,SkyWest Airlines,ORD,LIT,0
2022,AUG,27,Saturday,Delta Air Lines,LAX,BOS,1
2022,SEP,7,Wednesday,Southwest Airlines,MCI,DCA,0
2022,NOV,10,Thursday,Delta Air Lines,ATL,LGA,0
2022,OCT,4,Tuesday,SkyWest Airlines,ORD,JLN,0
2023,JUN,8,Thursday,SkyWest Airlines,SLC,TUL,0
2022,SEP,26,Monday,Alaska Airlines,SAN,SEA,0
2022,AUG,27,Saturday,SkyWest Airlines,LIT,DFW,0
2022,DEC,10,Saturday,American Airlines,CLT,BNA,0
2023,APR,24,Monday,SkyWest Airlines,FNT,ORD,0
2023,AUG,23,Wednesday,American Airlines,RSW,CLT,0
2022,NOV,13,Sunday,Envoy Air,GCK,DFW,1
2023,MAY,15,Monday,Southwest Airlines,MDW,STL,0
2022,AUG,15,Monday,Republic Airline,LGA,OKC,0
2023,AUG,9,Wednesday,Southwest Airlines,MDW,BOS,1
2023,AUG,3,Thursday,Southwest Airlines,COS,LAS,0
2023,JAN,31,Tuesday,Republic Airline,PIT,LGA,0
2023,APR,22,Saturday,American Airlines,SNA,DFW,0
2023,AUG,17,Thursday,Southwest Airlines,DEN,CLE,1
2023,JUL,26,Wednesday,American Airlines,MCI,DFW,0
2023,MAR,6,Monday,Delta Air Lines,DTW,TPA,1
2023,MAR,16,Thursday,Spirit Air Lines,LAS,DFW,0
2022,DEC,17,Saturday,United Air Lines,CVG,DEN,0
2022,SEP,11,Sunday,Southwest Airlines,PHX,IAH,0
2023,APR,18,Tuesday,Envoy Air,BTR,DFW,0
2023,MAY,13,Saturday,Southwest Airlines,OAK,DEN,0
