YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2023,FEB,21,Tuesday,Southwest Airlines,ELP,"El Paso, TX",DEN,"Denver, CO",1,0
2023,MAY,31,Wednesday,Delta Air Lines,DFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN",1,1
2022,DEC,29,Thursday,SkyWest Airlines,ORD,"Chicago, IL",SDF,"Louisville, KY",0,0
2023,FEB,19,Sunday,Spirit Air Lines,PIT,"Pittsburgh, PA",MCO,"Orlando, FL",0,0
2023,FEB,3,Friday,Southwest Airlines,LAX,"Los Angeles, CA",SMF,"Sacramento, CA",0,0
2022,OCT,31,Monday,Endeavor Air,JFK,"New York, NY",PWM,"Portland, ME",0,0
2023,JAN,8,Sunday,United Air Lines,IAD,"Washington, DC",TPA,"Tampa, FL",0,0
2023,JUN,2,Friday,Republic Airline,EWR,"Newark, NJ",HHH,"Hilton Head, SC",0,0
2022,DEC,3,Saturday,Southwest Airlines,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",1,1
2023,FEB,6,Monday,Allegiant Air,SDF,"Louisville, KY",SRQ,"Sarasota/Bradenton, FL",0,0
2023,FEB,21,Tuesday,American Airlines,DCA,"Washington, DC",CLT,"Charlotte, NC",0,1
2023,JUL,11,Tuesday,Delta Air Lines,ORD,"Chicago, IL",MSP,"Minneapolis, MN",1,1
2022,AUG,29,Monday,American Airlines,DFW,"Dallas/Fort Worth, TX",CLT,"Charlotte, NC",0,0
2023,MAR,17,Friday,PSA Airlines,CLT,"Charlotte, NC",SDF,"Louisville, KY",0,0
2023,APR,3,Monday,Spirit Air Lines,LAX,"Los Angeles, CA",ORD,"Chicago, IL",1,0
2023,JUN,22,Thursday,Southwest Airlines,ATL,"Atlanta, GA",JAN,"Jackson/Vicksburg, MS",0,0
2022,NOV,19,Saturday,SkyWest Airlines,BOI,"Boise, ID",SEA,"Seattle, WA",0,0
2022,DEC,12,Monday,American Airlines,CLT,"Charlotte, NC",JAX,"Jacksonville, FL",0,0
2022,SEP,30,Friday,Republic Airline,LGA,"New York, NY",CVG,"Cincinnati, OH",0,0
2023,JAN,21,Saturday,American Airlines,EGE,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",0,0
2023,JUN,25,Sunday,Spirit Air Lines,MIA,"Miami, FL",CLT,"Charlotte, NC",1,1
